file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,124,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,125,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,19
style.css,126,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,127,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,19
style.css,128,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,129,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,14
style.css,130,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,131,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,132,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,133,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,26
style.css,134,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,135,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,14
style.css,136,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,12
style.css,137,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,37
style.css,138,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,139,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,140,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,141,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,142,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,143,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,144,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,32
style.css,145,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,146,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,33
style.css,147,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,148,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,149,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,10
style.css,150,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,13
style.css,151,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,59
style.css,152,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,8
style.css,153,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,154,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,155,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,156,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,18
style.css,157,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,60
style.css,158,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,20
style.css,159,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,160,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,161,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,22
style.css,162,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,163,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,44
style.css,164,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,32
style.css,165,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,166,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,167,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,168,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,27
style.css,169,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,170,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,171,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,22
style.css,172,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,21
style.css,173,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,174,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,175,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,12
style.css,176,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,177,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
